 0.3396000000000000E+04, 0.4282837519531499E+14, 0.2380000000000000E+04,   95,   95,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    2,    0,-0.8750221122372455E-03, 0.0000000000000000E+00, 0.2743882441083800E-10, 0.0000000000000000E+00             
    2,    1, 0.2373130079821653E-09, 0.1839936384982446E-09, 0.1892176015092200E-10, 0.1881678205961900E-10             
    2,    2,-0.8463580490294714E-04, 0.4893458594644792E-04, 0.1023332024416200E-10, 0.1009835897635900E-10             
    3,    0,-0.1189592451666941E-04, 0.0000000000000000E+00, 0.1971401242556600E-10, 0.0000000000000000E+00             
    3,    1, 0.3804026041732198E-05, 0.2517756337947950E-04, 0.1968601912931200E-10, 0.1981945082357000E-10             
    3,    2,-0.1594790360450561E-04, 0.8361548298316819E-05, 0.1900167378390000E-10, 0.1923553986011500E-10             
    3,    3, 0.3505405681101118E-04, 0.2557439128753541E-04, 0.1222916116227600E-10, 0.1187394435407300E-10             
    4,    0, 0.5129279433254501E-05, 0.0000000000000000E+00, 0.2941853637382500E-10, 0.0000000000000000E+00             
    4,    1, 0.4216229637970884E-05, 0.3763192213046740E-05, 0.2585784718425400E-10, 0.2603287000667900E-10             
    4,    2,-0.9526333789374115E-06,-0.8980975735100729E-05, 0.2372682978353100E-10, 0.2364579257203100E-10             
    4,    3, 0.6456843248345995E-05,-0.1931827016526455E-06, 0.1749236124237700E-10, 0.1750915886167700E-10             
    4,    4, 0.3097569201577728E-06,-0.1287300514771367E-04, 0.1006299973447100E-10, 0.9923437964215500E-11             
    5,    0,-0.1727567296203209E-05, 0.0000000000000000E+00, 0.3168103694406200E-10, 0.0000000000000000E+00             
    5,    1, 0.4836523836906348E-06, 0.2123024178350311E-05, 0.2859011025256900E-10, 0.2996613278093400E-10             
    5,    2,-0.4298169738015490E-05,-0.1165789499044885E-05, 0.2603332430383300E-10, 0.2732426841006300E-10             
